d1, ax, ay, az, axL, azL, ts
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 94.73935
0.00000, 273.00000, 326.00000, 328.00000, 320.00000, 410.00000, 94.75343
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.76730
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 94.78102
0.00000, 272.00000, 326.00000, 327.00000, 320.00000, 411.00000, 94.79494
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 411.00000, 94.81173
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 94.82580
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 410.00000, 94.83766
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 94.84895
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 94.86097
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.87498
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 94.88903
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 94.90680
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 94.92403
0.00000, 273.00000, 325.00000, 327.00000, 321.00000, 410.00000, 94.94176
0.00000, 273.00000, 325.00000, 329.00000, 321.00000, 411.00000, 94.96039
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 409.00000, 94.97437
0.00000, 272.00000, 326.00000, 326.00000, 322.00000, 411.00000, 94.98884
0.00000, 272.00000, 326.00000, 329.00000, 321.00000, 411.00000, 95.00225
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.01660
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.03080
0.00000, 271.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.04464
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.05850
0.00000, 273.00000, 326.00000, 329.00000, 322.00000, 411.00000, 95.07279
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 412.00000, 95.08688
0.00000, 272.00000, 325.00000, 329.00000, 322.00000, 411.00000, 95.10063
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.11442
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.13074
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.14695
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.17974
0.00000, 271.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.19467
0.00000, 272.00000, 325.00000, 329.00000, 321.00000, 411.00000, 95.21027
0.00000, 271.00000, 326.00000, 329.00000, 322.00000, 411.00000, 95.22928
0.00000, 273.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.24497
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.26096
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.27551
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 95.28925
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.30250
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 411.00000, 95.31924
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.33432
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.34966
0.00000, 272.00000, 326.00000, 327.00000, 320.00000, 410.00000, 95.36178
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.37540
0.00000, 273.00000, 326.00000, 327.00000, 321.00000, 410.00000, 95.39286
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.41198
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.43487
0.00000, 273.00000, 326.00000, 330.00000, 321.00000, 411.00000, 95.45509
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.47476
0.00000, 271.00000, 325.00000, 327.00000, 321.00000, 410.00000, 95.49434
0.00000, 271.00000, 325.00000, 327.00000, 322.00000, 411.00000, 95.52362
0.00000, 272.00000, 326.00000, 327.00000, 320.00000, 411.00000, 95.54224
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.55528
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.56883
0.00000, 272.00000, 325.00000, 328.00000, 321.00000, 411.00000, 95.58507
0.00000, 272.00000, 326.00000, 328.00000, 320.00000, 410.00000, 95.60179
0.00000, 273.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.62253
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.63932
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 411.00000, 95.65776
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 95.67454
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 412.00000, 95.69059
0.00000, 271.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.70582
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 410.00000, 95.71761
0.00000, 272.00000, 326.00000, 329.00000, 321.00000, 412.00000, 95.72975
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 95.74374
0.00000, 272.00000, 325.00000, 327.00000, 321.00000, 411.00000, 95.75741
0.00000, 271.00000, 326.00000, 327.00000, 321.00000, 411.00000, 95.77138
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 411.00000, 95.78588
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 95.79835
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.81229
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.82708
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.84097
0.00000, 272.00000, 326.00000, 329.00000, 322.00000, 411.00000, 95.85125
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 410.00000, 95.86598
0.00000, 272.00000, 326.00000, 327.00000, 321.00000, 411.00000, 95.88073
0.00000, 273.00000, 326.00000, 328.00000, 321.00000, 410.00000, 95.94543
0.00000, 272.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.96062
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.97321
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 411.00000, 95.98828
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 411.00000, 95.99957
0.00000, 273.00000, 326.00000, 328.00000, 322.00000, 412.00000, 96.01627
0.00000, 272.00000, 326.00000, 327.00000, 322.00000, 412.00000, 96.03438
0.00000, 272.00000, 326.00000, 328.00000, 321.00000, 413.00000, 96.05038
0.00000, 271.00000, 326.00000, 327.00000, 322.00000, 411.00000, 96.06619
